url,pubdate_guess
https://index.hu/kulfold/2025/11/02/haboru-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin-donald-trump-beketargyalas-nato-europai-unio-amerika/uj-dron-elfogo-egyseget-hoz-letre-az-ukran-legiero,2025-11-02
https://index.hu/kulfold/2025/11/02/haboru-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin-donald-trump-beketargyalas-nato-europai-unio-amerika/torokorszag-bejelentette-kesz-az-orosz-ukran-beketargyalasok-negyedik-fordulojara,2025-11-02
https://index.hu/kulfold/2025/11/02/haboru-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin-donald-trump-beketargyalas-nato-europai-unio-amerika/szorul-a-hurok-vlagyimir-putyin-nyaka-korul---a-pentagon-igent-mondott-az-ukrajnanak-szant-tomahawkokra,2025-11-02
https://index.hu/kulfold/2025/11/02/haboru-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin-donald-trump-beketargyalas-nato-europai-unio-amerika/rekord-mennyisegu-raketat-lott-ki-oroszorszag-ukrajnara-oktoberben,2025-11-02
https://index.hu/kulfold/2025/11/02/haboru-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin-donald-trump-beketargyalas-nato-europai-unio-amerika/oroszorszag-szankciokat-vezetett-be-ukrajna-uj-miniszterelnoke-ellen,2025-11-02
https://index.hu/kulfold/2025/11/02/haboru-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin-donald-trump-beketargyalas-nato-europai-unio-amerika/oroszorszag-29-ukran-dront-semmisitett-meg-harom-ora-alatt,2025-11-02
https://index.hu/kulfold/2025/11/02/haboru-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin-donald-trump-beketargyalas-nato-europai-unio-amerika/orosz-tamadas-ert-egy-ukrajnai-uzletet-negyen-meghaltak-ket-gyermek-is-az-aldozatok-kozott,2025-11-02
https://index.hu/kulfold/2025/11/02/haboru-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin-donald-trump-beketargyalas-nato-europai-unio-amerika/orosz-droncsapasok-dnyipropetrovszkban-es-szumiban-tobben-meghaltak-es-megsebesultek,2025-11-02
https://index.hu/kulfold/2025/11/02/haboru-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin-donald-trump-beketargyalas-nato-europai-unio-amerika/orosz-droncsapas-odessza-tersegeben-ket-halott-sebesultek,2025-11-02
https://index.hu/kulfold/2025/11/02/haboru-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin-donald-trump-beketargyalas-nato-europai-unio-amerika/moszkva-bekemenyit-ezres-nagysagrendu-csapatok-tamadnak-pokrovszk-ellen,2025-11-02
https://index.hu/kulfold/2025/11/02/haboru-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin-donald-trump-beketargyalas-nato-europai-unio-amerika/mintegy-hatvanezer-ember-maradt-aram-nelkul-zaporizzsja-regioban,2025-11-02
https://index.hu/kulfold/2025/11/02/haboru-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin-donald-trump-beketargyalas-nato-europai-unio-amerika/kupjanszki-es-a-pokrovszki-kitoresi-kiserletek-visszavereserol-tett-bejelentest-az-orosz-vedelmi-miniszterium,2025-11-02
https://index.hu/kulfold/2025/11/02/haboru-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin-donald-trump-beketargyalas-nato-europai-unio-amerika/kreml-a-trump-putyin-csucs-lehetseges-de-egyelore-nincs-ra-szukseg,2025-11-02
https://index.hu/kulfold/2025/11/02/haboru-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin-donald-trump-beketargyalas-nato-europai-unio-amerika/kezdunk,2025-11-02
https://index.hu/kulfold/2025/11/02/haboru-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin-donald-trump-beketargyalas-nato-europai-unio-amerika/ismet-herszont-lottek-az-oroszok-het-ember-megserult,2025-11-02
https://index.hu/kulfold/2025/11/02/haboru-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin-donald-trump-beketargyalas-nato-europai-unio-amerika/fougyeszseg-orosz-raketa--es-drontamadasban-tobben-meghaltak-dnyipropetrovszk-tersegeben,2025-11-02
https://index.hu/kulfold/2025/11/02/haboru-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin-donald-trump-beketargyalas-nato-europai-unio-amerika/csaknem-hatezren-erkeztek-magyarorszagra-ukrajnabol-szombaton,2025-11-02
https://index.hu/kulfold/2025/11/02/haboru-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin-donald-trump-beketargyalas-nato-europai-unio-amerika/bucsuzunk,2025-11-02
https://index.hu/kulfold/2025/11/02/haboru-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin-donald-trump-beketargyalas-nato-europai-unio-amerika/bezarnak-egy-ukran-menekulttabort-berlinben,2025-11-02
https://index.hu/kulfold/2025/11/02/haboru-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin-donald-trump-beketargyalas-nato-europai-unio-amerika/12-poszeidon-raketa-szallitasara-kepes-atom-tengeralattjarot-bocsatott-vizre-oroszorszag,2025-11-02
https://index.hu/kulfold/2025/11/02/haboru-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin-donald-trump-beketargyalas-nato-europai-unio-amerika,2025-11-02
https://index.hu/kulfold/2025/11/02/gyermekpornografia-szexbabak-franciaorszag-feljelentes,2025-11-02
https://index.hu/kulfold/2025/11/02/franciaorszag-rendorseg-nemi-eroszak-nyomozas-parizs-bobigny,2025-11-02
https://index.hu/kulfold/2025/11/02/franciaorszag-parizs-louvre-ekszerrablas-tolvajok-ugyesz,2025-11-02
https://index.hu/kulfold/2025/11/02/egyesult-kiralyseg-andras-herceg-katonai-cim-megfosztas,2025-11-02
https://index.hu/kulfold/2025/11/02/egyesult-allamok-szuperszonikus-repulogep-teszt-nasa,2025-11-02
https://index.hu/kulfold/2025/11/02/egyesult-allamok-donald-trump-kina-hszi-csin-ping-katonai-forrodrot,2025-11-02
https://index.hu/kulfold/2025/11/02/donald-trump-usa-azsia-asean-apec-csucstalalkozo,2025-11-02
https://index.hu/kulfold/2025/11/02/donald-trump-pentagon-egyesult-allamok-orosz-ukran-konfliktus-volodimir-zelenszkij-vlagyimir-putyin,2025-11-02
https://index.hu/kulfold/2025/11/02/donald-trump-egyesult-allamok-nigeria-katonai-beavatkozas-keresztenyseg-hadugyminiszterium-akcio-keresztenyseg,2025-11-02
https://index.hu/kulfold/2025/11/02/belgium-katonai-bazis-dronok-theo-francken,2025-11-02
https://index.hu/kulfold/2025/11/02/anglia-london-keseles-vonat-panik-plato-keir-starmer-eletveszelyes-serultek-terrortamadas,2025-11-02
https://index.hu/kulfold/2025/11/02/anglia-keseles-vonat-panik-serultek,2025-11-02
https://index.hu/gazdasag/2025/11/02/torokorszag-nyersolaj-import-oroszorszag-szankciok,2025-11-02
https://index.hu/gazdasag/2025/11/02/magyarorszag-ukrajna-europai-unio-szlovakia-lengyelorszag-importvam,2025-11-02
https://index.hu/gazdasag/2025/11/02/magyar-allamkincstar-csaladi-potlek-keses,2025-11-02
https://index.hu/gazdasag/2025/11/02/jovedelem-atlagkereset-szegenyseg-gazdagsag,2025-11-02
https://index.hu/gazdasag/2025/11/02/hatos-lotto-sorsolas-nyeroszamok,2025-11-02
https://index.hu/gazdasag/2025/11/02/euro-forint-dollar-mnb-kamatpolitika-varga-mihaly,2025-11-02
https://index.hu/gazdasag/2025/11/02/egyiptom-4ig-jaszai-gellert-egyuttmukodes-interkontinentalis-tengeralatti-adatkabel,2025-11-02
https://index.hu/fomo/2025/11/02/tiktok-mesterseges-intelligencia-ai-video-olimpia-nok-takaritas,2025-11-02
https://index.hu/fomo/2025/11/02/taylor-swift-eras-tour-disney-plus-marketing,2025-11-02
https://index.hu/fomo/2025/11/02/sztarbox-rtl-szuperdonto-kulcsar-edina-bodi-bence-schobert-norbi-jr-molnar-gusztav,2025-11-02
https://index.hu/fomo/2025/11/02/galla-miklos-csuklas-injekcio-allapot,2025-11-02
https://index.hu/fomo/2025/11/02/budakalasz-manofalva-vandalkodas-pusztitas-buncselekmeny,2025-11-02
https://index.hu/fomo/2025/11/02/becs-ausztria-spanyol-lovasiskola-csalas-botrany-lipicai-lo,2025-11-02
https://index.hu/belfold/2025/11/02/vitezy-david-lazar-janos-mav-statisztika,2025-11-02
https://index.hu/belfold/2025/11/02/ujrahasznositas-pulover-mohu-muveszet-kampany-szelektiv-hulladek,2025-11-02
https://index.hu/belfold/2025/11/02/szepsegkiralyno-dezsenyi-kincso-miss-universe-hungary-gyogytorna,2025-11-02
https://index.hu/belfold/2025/11/02/szentkiralyi-alexandra-magyar-peter-etikai-kodex-tisza-part,2025-11-02
https://index.hu/belfold/2025/11/02/magyarorszag-orban-viktor-miniszterelnok-egyiptom,2025-11-02
https://index.hu/belfold/2025/11/02/magyar-peter-tisza-part-tisza-vilag-alkalmazas-hekkertamadas,2025-11-02
https://index.hu/belfold/2025/11/02/magyar-peter-lazar-janos-korrupcio-strabag,2025-11-02
https://index.hu/belfold/2025/11/02/kiemelt-kormanyzati-beruhazas-hadhazy-akos-bayer-construct-kornyezetvedelmi-engedely,2025-11-02
https://index.hu/belfold/2025/11/02/karacsony-gergely-szavazatszamlalas-valasztas-budapest,2025-11-02
https://index.hu/belfold/2025/11/02/idojaras-elorejelzes-radar-csapadek-frontalis-felhozet-november,2025-11-02
https://index.hu/belfold/2025/11/02/ficzere-podcast-blasko-peter-egeszseg-szineszet-kossuth-dij-2008-elleneallas-pszichologia,2025-11-02
https://index.hu/belfold/2025/11/02/elet-halal-kuzdelem-baleset-ocsai-madarvarta-mocsar-lap-ovatlan-turista,2025-11-02
https://index.hu/belfold/2025/11/02/dedunoka-szexualis-eroszak-nyugdijas-tordas-tata,2025-11-02
https://index.hu/belfold/2025/11/02/craft-vezetes-vezetesi-strategia-kalamar-beata,2025-11-02
https://index.hu/belfold/2025/11/02/budapest-varos-varoskep-dizajn-varosresz-varosfejlesztes,2025-11-02
https://index.hu/belfold/2025/11/02/borsod-abauj-zemplen-varmegye-lillafured-bukk-eltunt-szemely,2025-11-02
https://index.hu/belfold/2025/11/02/balla-lajos-dunaharaszti-mtk-vezetoedzo-gyasz-rendorseg,2025-11-02
https://index.hu/belfold/2025/11/02/baleset-mentohelikopter-auto-motor,2025-11-02
https://index.hu/belfold/2025/11/02/baleset-iii-kerulet-karambol-hev-gepkocsi,2025-11-02
https://index.hu/techtud/2025/11/01/szolnoki-szabolcs-magyarorszag-mesterseges-intelligencia-torveny,2025-11-01
https://index.hu/sport/2025/11/01/nba-kosarlabda-shai-gilgeous-alexander-kanada-haz-rablas,2025-11-01
https://index.hu/sport/2025/11/01/mount-everest-hegymaszas-sieles-jim-morrison-jimmy-chin-video,2025-11-01
https://index.hu/nagykep/2025/11/01/termeszetfotozas-magyar-termeszetfotosok-fotopalyazat-madar-emlos,2025-11-01
https://index.hu/kultur/2025/11/01/zongora-csodagyerek-musart-chopin-egyesult-allamok,2025-11-01
https://index.hu/kultur/2025/11/01/teller-ede-elso-hidrogenbomba-elugelab-sziget-evfordulo-kviz,2025-11-01
https://index.hu/kultur/2025/11/01/tcheky-karyo-szinesz-halahir-film-bad-boys-nikita,2025-11-01
https://index.hu/kultur/2025/11/01/szofija-gubajdulina-concerto-budapest-budapest-music-center,2025-11-01
https://index.hu/kultur/2025/11/01/miranda-july-all-fours-negykezlab-konyv-kortars-irodalom,2025-11-01
https://index.hu/kultur/2025/11/01/izrael-eurovizios-dalfesztival-kitiltas-ausztria-christian-stocker,2025-11-01
https://index.hu/kultur/2025/11/01/grand-egyptian-museum-egyiptom-muzeum-megnyito-orban-viktor,2025-11-01
https://index.hu/kultur/2025/11/01/central-szinhaz-halalhir-duzs-attila,2025-11-01
https://index.hu/kultur/2025/11/01/az-aduasz-romhanyi-jozsef-konyv-varkonyi-judit-helikon-kiado,2025-11-01
